time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_max,latitude,longitude
2021-02-07,19.8,18.6,0.0,79,14.7167,-17.4677
2021-02-08,20.1,18.8,0.0,72,14.7167,-17.4677
2021-02-09,19.6,18.9,0.0,76,14.7167,-17.4677
2021-02-10,19.5,18.9,0.0,76,14.7167,-17.4677
2021-02-11,20.0,19.0,0.0,83,14.7167,-17.4677
2021-02-12,20.5,19.6,0.0,72,14.7167,-17.4677
2021-02-13,20.2,19.3,0.0,73,14.7167,-17.4677
2021-02-14,20.1,19.2,0.0,74,14.7167,-17.4677
2021-02-15,21.0,19.6,0.0,74,14.7167,-17.4677
2021-02-16,20.9,19.1,0.0,80,14.7167,-17.4677
2021-02-17,20.4,19.2,0.0,78,14.7167,-17.4677
2021-02-18,19.2,18.7,0.0,85,14.7167,-17.4677
2021-02-19,19.7,18.6,0.0,85,14.7167,-17.4677
2021-02-20,19.4,18.8,0.0,87,14.7167,-17.4677
2021-02-21,19.7,18.8,0.0,84,14.7167,-17.4677
2021-02-22,20.4,19.2,0.0,76,14.7167,-17.4677
2021-02-23,21.2,19.8,0.0,75,14.7167,-17.4677
2021-02-24,20.3,19.1,0.0,77,14.7167,-17.4677
2021-02-25,21.4,19.2,0.0,79,14.7167,-17.4677
2021-02-26,22.6,19.9,0.0,73,14.7167,-17.4677
2021-02-27,20.1,19.3,0.0,73,14.7167,-17.4677
2021-02-28,19.1,18.2,0.0,80,14.7167,-17.4677
2021-03-01,19.0,17.8,0.0,88,14.7167,-17.4677
2021-03-02,20.2,18.6,0.0,78,14.7167,-17.4677
2021-03-03,20.0,19.3,0.0,74,14.7167,-17.4677
2021-03-04,19.7,19.2,0.0,76,14.7167,-17.4677
